Manufacturer,Model #,Form Factor,Wattage,0.1,0.2,0.5,1,Rating,Date Certified
"Shenzhen Yijian Technology Co., Ltd.",VP-700W,ATX12V,700,0.8358,0.8657,0.8624,0.8223,Bronze,25/11/2020
"Shenzhen Yijian Technology Co., Ltd.",VP-600W,ATX12V,600,0.8229,0.8572,0.8573,0.8208,Bronze,25/11/2020
"Shenzhen Yijian Technology Co., Ltd.",VP-500W,ATX12V,500,0.8051,0.8494,0.8545,0.8228,Bronze,24/11/2020
"Shenzhen Yijian Technology Co., Ltd.",PX-750W,ATX12V,750,0.8304,0.8707,0.8832,0.8483,Bronze,24/11/2020
Super Flower,SF-850F14PE,ATX12V & EPS12V,850,0.8955,0.9244,0.9304,0.9105,Platinum,24/11/2020
"Shenzhen Yijian Technology Co., Ltd.",PX-650W,ATX12V,650,0.8127,0.8562,0.8733,0.8443,Bronze,24/11/2020
RIO BRANCO COMERCIO E INDUSTRIA DE PAPEIS LTDA.,DZ-750,ATX12V,750,0.8304,0.8707,0.8832,0.8483,Bronze,24/11/2020
RIO BRANCO COMERCIO E INDUSTRIA DE PAPEIS LTDA.,DZ-650,ATX12V,650,0.8127,0.8562,0.8733,0.8443,Bronze,24/11/2020
"Shenzhen Yijian Technology Co., Ltd.",PX-550W,ATX12V,550,0.8138,0.8608,0.876,0.8478,Bronze,24/11/2020
RIO BRANCO COMERCIO E INDUSTRIA DE PAPEIS LTDA.,DZ-550,ATX12V,550,0.8138,0.8608,0.876,0.8478,Bronze,24/11/2020
J-Power,SP-650PS-B,EPS12V,650,0.842,0.8804,0.885,0.8364,Bronze,24/11/2020
Super Flower,SF-750F14PE,ATX12V & EPS12V,750,0.8859,0.9149,0.9253,0.9096,Platinum,23/11/2020
Super Flower,SF-650F14PE,ATX12V & EPS12V,650,0.8936,0.9182,0.9215,0.9049,Platinum,23/11/2020
Super Flower,SF-1000F14PE,ATX12V & EPS12V,1000,0.9061,0.9309,0.9299,0.8998,Platinum,20/11/2020
Lite-On Technology Corporation,PS-4601-1,ATX12V,600,0.8927,0.9105,0.9154,0.8861,Gold,20/11/2020
"HP, Inc.",PS-4601-1,ATX12V,600,0.8938,0.9121,0.9156,0.8844,Gold,20/11/2020
AZZA,PSAZ-750W,"ATX12V, EPS12V",750,0.8119,0.8587,0.8694,0.8314,Bronze,19/11/2020
ZORD,FG800W,ATX12V & EPS12V,800,0.8579,0.905,0.9124,0.882,Gold,18/11/2020
Cooler Master,MPW-8001-ACAAG,ATX12V,800,0.8558,0.8985,0.9109,0.8854,Gold,18/11/2020
"Shenzhen Soeyi Technology Co., Ltd.",ATX-800W,ATX12V,800,0.864,0.8947,0.8968,0.8461,Bronze,13/11/2020
"Shenzhen Soeyi Technology Co., Ltd.",ATX-700W,ATX12V,700,0.8377,0.8806,0.8878,0.8403,Bronze,12/11/2020
"Shenzhen Soeyi Technology Co., Ltd.",ATX-600W,ATX12V,600,0.7949,0.8469,0.8661,0.8364,Bronze,12/11/2020
"Shenzhen Soeyi Technology Co., Ltd.",ATX-400W,ATX12V,400,0.7522,0.8211,0.8591,0.841,Bronze,12/11/2020
"Shenzhen Soeyi Technology Co., Ltd.",ATX-500W,ATX12V,500,0.7808,0.839,0.8633,0.8383,Bronze,12/11/2020
Lenovo,PA-3751-1,ATX12V,750,0.8535,0.9334,0.9315,0.9057,Platinum,11/11/2020
"Dongguan Chenming Electronic Co., Ltd.",ATX-PC850-GM,ATX12V,850,0.8553,0.8975,0.9099,0.8814,Gold,10/11/2020
"Dongguan Chenming Electronic Co., Ltd.",ATX-PC750-GM,ATX12V,750,0.8434,0.8929,0.9086,0.8799,Gold,10/11/2020
SilverStone Technology Inc.,SST-ET750,ATX12V,750,0.8502,0.8861,0.8864,0.8366,Bronze,09/11/2020
WEIJIA SHARES GROUP ASIA LIMITED,X-POWER 650W,ATX12V,650,0.8275,0.8691,0.8821,0.8472,Bronze,09/11/2020
WEIJIA SHARES GROUP ASIA LIMITED,X-POWER 550W,ATX12V,550,0.815,0.8638,0.8787,0.8461,Bronze,09/11/2020
SilverStone Technology Inc.,SST-ET650,ATX12V,650,0.8374,0.8773,0.8865,0.8384,Bronze,06/11/2020
SilverStone Technology Inc.,SST-ET550,ATX12V,550,0.8289,0.8705,0.8835,0.8415,Bronze,06/11/2020
CFD Sales Inc.,KRPW-GR1000W/90+,ATX12V,1000,0.8443,0.8854,0.9115,0.8849,Gold,04/11/2020
Cougar,VTK 500,"ATX12V, EPS12V",500,0.8055,0.8512,0.8706,0.8503,Bronze,03/11/2020
Cougar,VTK 550,"ATX12V, EPS12V",550,0.818,0.8573,0.8697,0.8448,Bronze,03/11/2020
Cooler Master,MPE-C501-AFCAG,ATX12V,1250,0.8969,0.9202,0.9173,0.8789,Gold,03/11/2020
"Dongguan Chenming Electronic Co., Ltd.",ATX-PC600-G,ATX12V,600,0.8688,0.9064,0.9156,0.8918,Gold,03/11/2020
"Dongguan Chenming Electronic Co., Ltd.",ATX-PC550-G,ATX12V,550,0.8567,0.9038,0.912,0.8898,Gold,03/11/2020
Gigabyte,GP-P850GM,ATX12V,850,0.8839,0.9107,0.9185,0.8877,Gold,02/11/2020
Cougar,VTK 400,"ATX12V, EPS12V",400,0.7792,0.8345,0.8646,0.849,Bronze,02/11/2020
Cougar,VTK 450,"ATX12V, EPS12V",450,0.7924,0.8414,0.8634,0.848,Bronze,02/11/2020
SilverStone Technology Inc.,SST-VA850-G,ATX12V,850,0.8962,0.9248,0.9267,0.8944,Gold,02/11/2020
"High Power Electric Co., Ltd.",HP1-P650GD-F12S,ATX12V,650,0.8625,0.9125,0.9172,0.8963,Gold,02/11/2020
"High Power Electric Co., Ltd.",HP1-P750GD-F12S,ATX12V,750,0.8733,0.9179,0.9184,0.8964,Gold,28/10/2020
Hiearcool,HC-750G,"ATX12V, EPS12V",750,0.8724,0.9097,0.9179,0.8854,Gold,27/10/2020
Channel Well Technology Co.,CSI750M,SFX,750,0.8463,0.8933,0.9135,0.886,Gold,27/10/2020
"High Power Electric Co., Ltd.",HP1-J750GD-F12S(C),ATX12V,750,0.8693,0.9069,0.9188,0.8976,Gold,27/10/2020
Dell,D550EGM-01,ATX12V,550,0.8634,0.9003,0.9131,0.8872,Gold,26/10/2020
Dell,D460EGM-02,ATX12V,460,0.8488,0.8922,0.9079,0.887,Gold,26/10/2020
Dell,D300EGM-02,ATX12V,300,0.8542,0.8854,0.9054,0.8843,Gold,26/10/2020
Dell,D500EPS-00,SFF,500,0.8937,0.9227,0.9306,0.906,Platinum,23/10/2020
Dell,D360EPS-00,SFF,360,0.8758,0.9135,0.9284,0.9085,Platinum,23/10/2020
Dell,L300EPS-00,SFF,300,0.8694,0.9124,0.9258,0.906,Platinum,23/10/2020
HuntKey,HK400-74PP,Other,300,0.8642,0.8845,0.8847,0.856,Silver,21/10/2020
Xigmatek,MT750G12,"ATX12V, EPS12V",750,0.8472,0.8952,0.9109,0.8863,Gold,21/10/2020
Xigmatek,MT850G12,"ATX12V, EPS12V",850,0.838,0.8875,0.9089,0.8886,Gold,21/10/2020
SilverStone Technology Inc.,SST-SX750-PT,SFX,750,0.8686,0.9078,0.925,0.902,Platinum,21/10/2020
ASIAN POWER DEVICES INC.,NW-430B01,Other,430,0.8657,0.8902,0.9157,0.9154,Gold,20/10/2020
ASIAN POWER DEVICES INC.,NW-430B01,Oher,430,0.8657,0.8902,0.9157,0.9154,Gold,20/10/2020
Antec,X8000A205JF-20,"ATX12V, EPS12V",650,0.8806,0.9156,0.926,0.9061,Platinum,20/10/2020
Antec,X8000A207JF-20,"ATX12V, EPS12V",750,0.8876,0.9202,0.9274,0.8961,Platinum,20/10/2020
Antec,X8000A209JF-20,"ATX12V, EPS12V",850,0.8931,0.92,0.9261,0.8997,Platinum,20/10/2020
Dell,L500EPS-00,Other,500,0.894,0.9249,0.9316,0.9086,Platinum,19/10/2020
SilverStone Technology Inc.,SST-DA1650-G,"ATX12V, EPS12V, PS2",1650,0.9089,0.9268,0.9183,0.8819,Gold,15/10/2020
Antec,X5000A253HC-20,"ATX12V, EPS12V",550,0.8004,0.8522,0.8739,0.8493,Bronze,14/10/2020
SilverStone Technology Inc.,SST-ET500-MG,ATX12V,500,0.8346,0.8894,0.9069,0.8906,Gold,14/10/2020
SilverStone Technology Inc.,SST-ET600-MG,ATX12V,600,0.8552,0.8975,0.9059,0.8833,Gold,14/10/2020
Antec,X5000A255HC-20,"ATX12V, EPS12V",650,0.8098,0.8608,0.8749,0.8434,Bronze,13/10/2020
Antec,X5000A251HC-20,"ATX12V, EPS12V",450,0.7691,0.8326,0.8612,0.8401,Bronze,13/10/2020
EZMAX Electronic Limited,EZ-8898D-600,ATX12V,600,0.8795,0.9131,0.9215,0.8941,Platinum,12/10/2020
EZMAX Electronic Limited,EZ-8898D-500,ATX12V,500,0.8699,0.9097,0.9236,0.9062,Platinum,12/10/2020
Dell,L360EPS-00,ATX12V,360,0.8723,0.9144,0.9306,0.9124,Platinum,09/10/2020
"HP, Inc.",D20-350P1A,ATX12V,350,0.8903,0.9169,0.9244,0.8937,Platinum,09/10/2020
SHOPINFO TECNOLOGIA EM INFORMATICA,NL-500B,ATX12V,500,0.7842,0.8451,0.8621,0.8363,Bronze,05/10/2020
Enhance Electronics,ATX-3285,ATX12V,850,0.8312,0.8804,0.9106,0.892,Gold,05/10/2020
ARESGAME,AGW750,ATX12V,750,0.8281,0.8771,0.8832,0.8317,Bronze,30/09/2020
ARESGAME,AGV750,ATX12V,750,0.8281,0.8771,0.8832,0.8317,Bronze,30/09/2020
Antec,X7000A081-20,"ATX12V, EPS12V",750,0.8681,0.9075,0.919,0.8877,Gold,29/09/2020
Dell,HU550EGM-01,ATX12V,550,0.8299,0.8881,0.9095,0.894,Gold,23/09/2020
"Delta Electronics, Inc.",AWF5DC2000W,ATX12V,1600,0.879,0.9124,0.937,0.9308,Platinum,22/09/2020
Dell,L300EGM-02,ATX12V,300,0.8522,0.8985,0.912,0.8926,Gold,21/09/2020
Dell,H500EPS-00,ATX12V,500,0.8598,0.9228,0.9288,0.8999,Platinum,21/09/2020
Dell,H300EPS-00,ATX12V,300,0.8957,0.9041,0.923,0.9114,Platinum,21/09/2020
Dell,H360EPS-00,ATX12V,360,0.8777,0.9153,0.9316,0.9086,Platinum,21/09/2020
Dell,AC300EPS-00,SFF,300,0.8685,0.911,0.9238,0.8993,Platinum,21/09/2020
Super Flower,SF-1000F14TP,"ATX12V, EPS12V",1000,0.8892,0.9158,0.925,0.8997,Platinum,18/09/2020
"Dongguan Chenming Electronic Co., Ltd.",ATX-PC500-B,ATX12V,500,0.7903,0.8488,0.8687,0.8493,Bronze,18/09/2020
"CHINA GREATWALL TECHNOLOGY GROUP CO., LTD.",F-850BL(92+),ATX12V,850,0.8885,0.9171,0.9261,0.9051,Platinum,17/09/2020
AcBel Polytech Inc.,FLXA4251A,FLEX ATX,250,0.7627,0.8959,0.9076,0.8827,Gold,17/09/2020
Cooler Master,MPW-7001-ACAAG,ATX12V,700,0.8503,0.8979,0.9111,0.8883,Gold,16/09/2020
Cooler Master,MPW-5001-ACAAG,ATX12V,500,0.8292,0.8878,0.9091,0.8916,Gold,16/09/2020
Cooler Master,MPW-6001-ACAAG,ATX12V,600,0.8397,0.8893,0.9031,0.8771,Gold,16/09/2020
dark Flash,GS750,ATX12V,750,0.8114,0.8588,0.8704,0.8331,Bronze,16/09/2020
dark Flash,GS650,ATX12V,650,0.7954,0.8501,0.8651,0.8354,Bronze,16/09/2020
dark Flash,GS550,ATX12V,550,0.7843,0.841,0.8621,0.8341,Bronze,16/09/2020
Dell,AC550EGM-01,ATX12V,550,0.8671,0.9069,0.9136,0.8878,Gold,15/09/2020
Dell,HU300EPS-00,Other,300,0.8701,0.9126,0.9258,0.9051,Platinum,15/09/2020
Be Quiet,P12-PRO-1500W,ATX12V,1500,0.9247,0.9441,0.94,0.9026,Titanium,15/09/2020
Dell,AC460EGM-01,ATX12V,460,0.841,0.8815,0.9066,0.8863,Gold,14/09/2020
Lenovo,HK850-53PP,Custom,750,0.9004,0.9273,0.9244,0.8971,Platinum,14/09/2020
"GAMDIAS Technology Co., Ltd.",KRATOS M1-750B,ATX12V,750,0.8224,0.8644,0.8737,0.8345,Bronze,11/09/2020
"Sea Sonic Electronics Co., Ltd.",SSP-500ES2,"ATX12V, EPS12V",500,0.7962,0.8517,0.8651,0.8412,Bronze,11/09/2020
"Sea Sonic Electronics Co., Ltd.",SSP-400ET2,"ATX12V, EPS12V",400,0.7911,0.8472,0.8673,0.8445,Bronze,11/09/2020
"Sea Sonic Electronics Co., Ltd.",SSP-350ST2,"ATX12V, EPS12V",350,0.7777,0.8394,0.8729,0.86,Bronze,11/09/2020
"Sea Sonic Electronics Co., Ltd.",SSP-400ES2,"ATX12V, EPS12V",400,0.7857,0.8411,0.8653,0.8418,Bronze,11/09/2020
"Sea Sonic Electronics Co., Ltd.",SSP-350ES2,"ATX12V, EPS12V",350,0.7549,0.8255,0.8687,0.8565,Bronze,11/09/2020
Cybertech Computer,MRT-750,ATX12V,750,0.7943,0.842,0.871,0.844,Bronze,10/09/2020
GAMEMAX,GP-750,ATX12V,750,0.7943,0.842,0.871,0.844,Bronze,10/09/2020
Dell,AC300EGM-01,ATX12V,300,0.852,0.892,0.9042,0.884,Gold,10/09/2020
GamePower,GP-750,ATX12V,750,0.7943,0.842,0.871,0.844,Bronze,10/09/2020
ASUS,TUF-750B-GAMING,ATX12V,750,0.8544,0.8908,0.885,0.8341,Bronze,09/09/2020
ASUS,TUF-650B-GAMING,ATX12V,650,0.8466,0.8883,0.8832,0.8383,Bronze,09/09/2020
FlePow,FP-850G,EPS12V,850,0.8836,0.9158,0.9186,0.8875,Gold,09/09/2020
Utechsmart,UT-850G,EPS12V,850,0.8836,0.9158,0.9186,0.8875,Gold,09/09/2020
SilverStone Technology Inc.,SST-FX500-G,FLEX ATX,500,0.8461,0.8945,0.9092,0.8841,Gold,09/09/2020
"CHINA GREATWALL TECHNOLOGY GROUP CO., LTD.",TUF-650B-GAMING,ATX12V,650,0.8466,0.8883,0.8832,0.8383,Bronze,09/09/2020
"CHINA GREATWALL TECHNOLOGY GROUP CO., LTD.",TUF-750B-GAMING,ATX12V,750,0.8544,0.8908,0.885,0.8341,Bronze,09/09/2020
HIDITEC,BZ750,ATX12V,750,0.8453,0.8762,0.8781,0.8294,Bronze,09/09/2020
Channel Well Technology Co.,CSL750S,ATX12V,750,0.8583,0.899,0.9143,0.8885,Gold,09/09/2020
Segotep,SG-950G,ATX12V,850,0.8836,0.9158,0.9186,0.8875,Gold,09/09/2020
"Tecnomall Technology Co., Ltd.",STORM2 L1 BRONZE 600W,ATX12V,600,0.8018,0.8614,0.8731,0.828,Bronze,04/09/2020
Mancer,THUNDER 600,ATX12V,600,0.8018,0.8614,0.8731,0.828,Bronze,04/09/2020
"Tecnomall Technology Co., Ltd.",STORM2 L1 BRONZE 500W,ATX12V,500,0.7849,0.8499,0.8703,0.8376,Bronze,31/08/2020
"Tecnomall Technology Co., Ltd.",STORM2 L1 BRONZE 400W,ATX12V,400,0.7539,0.8282,0.8628,0.8393,Bronze,31/08/2020
Mancer,THUNDER 500,ATX12V,500,0.7849,0.8499,0.8703,0.8376,Bronze,31/08/2020
Mancer,THUNDER 400,ATX12V,400,0.7539,0.8282,0.8628,0.8393,Bronze,31/08/2020
Dell,H1000EGM-00,ATX12V,1000,0.8621,0.8952,0.9082,0.8804,Gold,28/08/2020
"Sea Sonic Electronics Co., Ltd.",SSP-600ES2,"ATX12V, EPS12V",600,0.7793,0.8415,0.8705,0.8533,Bronze,28/08/2020
"Sea Sonic Electronics Co., Ltd.",SSP-600ET2,"ATX12V, EPS12V",600,0.8065,0.8546,0.8667,0.8426,Bronze,28/08/2020
"Sea Sonic Electronics Co., Ltd.",SSP-500ET2,ATX12V,500,0.795,0.8495,0.8682,0.8447,Bronze,28/08/2020
Corsair,RPS0128 (CP-9020236) (CV650),ATX12V,650,0.8248,0.8696,0.8807,0.8419,Bronze,27/08/2020
Lite-On Technology Corporation,PA-3701-1,ATX12V,700,0.9087,0.9299,0.9236,0.8904,Platinum,27/08/2020
"CHINA GREATWALL TECHNOLOGY GROUP CO., LTD.",GW-TFX200SPWB-TF,TFX,200,0.7871,0.8469,0.8736,0.8565,Bronze,25/08/2020
"CHINA GREATWALL TECHNOLOGY GROUP CO., LTD.",GW-TFX200SPWB-TF,TFX,200,0.7871,0.8469,0.8736,0.8565,Bronze,25/08/2020
Enhance Electronics,ATX-3670,ATX12V,700,0.8282,0.8627,0.8731,0.8337,Bronze,24/08/2020
Enhance Electronics,ATX-3175,ATX12V,750,0.8404,0.8937,0.9156,0.8974,Gold,21/08/2020
ARESGAME,AGW650,ATX12V,650,0.8273,0.8664,0.8779,0.8474,Bronze,17/08/2020
ARESGAME,AGV650,ATX12V,650,0.8273,0.8664,0.8779,0.8474,Bronze,17/08/2020
ARESGAME,AGV500,ATX12V,500,0.8123,0.859,0.8795,0.8564,Bronze,17/08/2020
Segotep,SG-800G,EPS12V,700,0.8387,0.8931,0.9097,0.8892,Gold,14/08/2020
Dell,H460EGM-01,ATX12V,460,0.832,0.8803,0.9106,0.8939,Gold,13/08/2020
Dell,H460EGM-00,ATX12V,460,0.832,0.8803,0.9106,0.8939,Gold,13/08/2020
FSP Technology Inc.,HGS-750M,ATX12V,750,0.8428,0.8922,0.9055,0.8761,Gold,12/08/2020
FSP Technology Inc.,FSP650-50ABA,ATX12V,650,0.826,0.8836,0.9013,0.8743,Gold,11/08/2020
FSP Technology Inc.,FSP550-50ABA,ATX12V,550,0.8392,0.8818,0.9003,0.8741,Gold,11/08/2020
FSP Technology Inc.,HGS-550M,ATX12V,550,0.8392,0.8818,0.9003,0.8741,Gold,11/08/2020
FSP Technology Inc.,HGS-650M,ATX12V,650,0.826,0.8836,0.9013,0.8743,Gold,11/08/2020
HuntKey,HK280-75PP,Other,180,0.8006,0.8452,0.8665,0.8417,Bronze,07/08/2020
"CHINA GREATWALL TECHNOLOGY GROUP CO., LTD.",GW-V800,ATX12V,800,0.8938,0.9171,0.9286,0.9063,Platinum,05/08/2020
Draxen Brasil,DN700,ATX12V,700,0.7663,0.8351,0.8664,0.8293,Bronze,05/08/2020
Draxen Brasil,DN500,ATX12V,500,0.7685,0.8319,0.8543,0.8288,Bronze,05/08/2020
